Review Title,Customer name,Rating,REMARK,Edited date,Category,Comments,Useful
Fantastic,RAHEEL,5,1,9/20/18,Others,"Great product, fully met my expectatis....",e pers found this helpful
Not good as expected,Bidyut Majumder,1,0,9/20/18,Others,Do not buy.,e pers found this helpful
Fantastic,RAHEEL,5,1,9/20/18,Others,"Great product, fully met my expectatis....",e pers found this helpful
Not good as expected,Bidyut Majumder,1,0,9/20/18,Others,Do not buy.,e pers found this helpful
Weste of mey,......,1,0,9/20/18,Camera,Both Camera quality is bed.its price is too high and quality are lowest.,2 people found this helpful
Great looking,Tuhin Kundu,5,1,10/20/18,Battery,"Picture perfect camera
Great sound
Good battery life
Value for mey",
5/4.5,manoranjan kumat,5,1,10/20/18,Battery,"Battery is good
Phe is good
Camera is good
Praformens is good",
Thanks to Amaz,Salman,5,1,10/20/18,Others,"Very very nice and budget smartphe good xiaomi

Thanks Amaz",
Super phe,mahi kumar,5,1,10/20/18,Others,This is the best phe mi phe,
Awesome,Amaz Customer,5,1,10/20/18,Others,e of best mobile compare to nokia 6 1 plus,
Redmi 6 pro reviee,Amaz Customer,5,1,10/20/18,Display,Display Quality and battery backup is good,
Good,Jay,3,1,10/20/18,Others,Low pictures clarity,
Nice product in cheap price, NANDKISHOR WANARE,5,1,10/20/18,Others,I have fall in love,
No thanks,KAILAS Ramchandra Throat,5,1,10/20/18,Others,No thanks,
Value of mey,Ahir Dipak Ram,4,1,10/20/18,Others,Superb product,
super,Kiran ,5,1,10/20/18,Others,super,
Nice,Saif,5,1,10/20/18,Others,Nice,
Good,Raj kumar,5,1,10/20/18,Others,Good,
Gty,Shakeel ahamad,5,1,10/20/18,Others,Jiiy,
A compact power pack Device with great battery and a decent camera,kunal Sethi,5,1,10/20/18,Display,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cs after 1 day of use. (will update so)
Pros
1. Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
2. Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
3. Audio 9/10
4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
5. Price - Price of this device is fair in all aspects. 10/10

Cs
The ly c I felt is frt camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are cfused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful.",
A compact power pack Device with great battery and a decent camera,kunal Sethi,5,1,9/20/18,Display,"This device feels great in hand because it is compact enough and doesn't feels bulky at all. Thanks to its notch display and 19:9 aspect ratio.
Directly coming to its pros and cs after 1 day of use. (will update so)
Pros
1. Design - Compact design as compared to redmi note 5 pro. 5.84"" screen looks way too compact as compared to 6"" in note 5 pro. Design 9/10
2. Rear Camera - Rear Camera is fair enough. If note 5 pro is 20 then it's 19. It captures detailed image in good lights but struggles a bit in low light. Rating 8/10.
3. Audio 9/10
4. Looks like a typical Xiaomi Device. Still ok because it is having unibody metal design 8.5/10.
5. Price - Price of this device is fair in all aspects. 10/10

Cs
The ly c I felt is frt camera. If the camera would be at least 12 MP shooter then this deal would be great or I must say greatest.

For people who are cfused between realme 2 and redmi 6 pro I would suggest them to buy redmi 6 pro.

Pls hit like if u thought this review was helpful.",2 people found this helpful
excellent this redmi 6 Pro,Dalowar,5,1,9/20/18,Others,excellent this redmi 6 Pro so nice product of redmi product thank you for xiaomi,
D't buy camera quality extreme poor.,shivam p.,1,0,9/20/18,Camera,"I got this product today camera both frt and back are not upto mark.
Pixels are scattered. Please d't buy this phe just because u r getting it for 11k.", 
Overall Nice,Protap G.,4,1,9/20/18,Camera,"Overall really good.Fingerprint and Face unlock is really fast.No lag problems while working or gaming.
Back camera is awesome.
But,if you are a selfie lover so then you should not go with this.
It ctains Ir blaster,there are no other phes provides that.",e pers found this helpful
Not good as expected,Bidyut Majumder,1,0,9/20/18,Others,Do not buy., 
Mi 6pro review,darpan n parekh,3,1,9/21/18,Camera,Camera clarity is not good and average mobile I purchased first time mi mobile but not good compare to expect,3 people found this helpful
High thinker,Joshi Dharmesh kumar,2,0,9/21/18,Others,No dual 4g if you think new mobile you buy realme 1,2 people found this helpful
Bad camera,JAWED HUSSAIN,2,0,9/21/18,Camera,Bad camera quality and heating problem,2 people found this helpful
High thinker,Joshi Dharmesh kumar,2,0,9/21/18,Others,No dual 4g if you think new mobile you buy realme 1,2 people found this helpful
Bad camera,JAWED HUSSAIN,2,0,9/21/18,Camera,Bad camera quality and heating problem,2 people found this helpful
Missing part,Santosh,1,0,9/21/18,Others,disapointing,e pers found this helpful
Not value for msny,Amaz Customer,1,0,9/21/18,Others,Worst phe,e pers found this helpful
Nice e again from xiomi...,Amaz Customer,5,1,10/21/18,Others,Fabulous products by fabulous xiomi,
nice phe,Abhinav more,5,1,10/21/18,Others,In this budget phe is good and Sound quality is also awesome,
Superb,Rishad,5,1,10/21/18,Others,Good,
Average,pradeep k,3,1,10/21/18,Others,Average,
Amazing,Emad choudhury,5,1,10/21/18,Delivery,"Value for mey...
Dislike late delivery",
Must buy,Amaz Customer,5,1,10/21/18,Others,Great phe@,
Amazing,Himanshu,5,1,10/21/18,Others,Mind blowing,
Marvellous,Rakesh,5,1,10/21/18,Others,It's awesome phe.,
Great phe,Buyer,4,1,10/21/18,Display,I loved the display,
Very good,Raju Dudhawade,5,1,10/21/18,Others,Very nice,
Not ok,RAKESH kumar mandal,5,1,10/21/18,Others,Not ok,
Very good,Mansukh,5,1,10/21/18,Others,Yes,
Great,SUNIL YADAV,4,1,10/21/18,Others,Best phe,
good,sohan lal,5,1,10/21/18,Others,good,
Nice mobile,Aniket,3,1,10/21/18,Camera,"Nice product
Frt or rear camera thoda accha ha chahiye tha",
Redmi,Mahesh,5,1,10/21/18,Others,I love mi,
All youtubers are paid,Sharad,5,1,9/22/18,Others,"Realme is sub brand of oppo
He give mey to all techi youtubers including big es and tell him to promote more realme
But MI 6 Pro is much better than real me
D't worry mi have given value for mey as always",2 people found this helpful
All youtubers are paid,Sharad,5,1,9/22/18,Others,"Realme is sub brand of oppo
He give mey to all techi youtubers including big es and tell him to promote more realme
But MI 6 Pro is much better than real me
D't worry mi have given value for mey as always",2 people found this helpful
dt buy these product. these copy of the product,KHAN SU RAFI AHMED,1,0,9/22/18,Others,"Please d't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting  and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",2 people found this helpful
Best phe with notch in this price,Amaz Customer,4,1,9/22/18,Camera,"Worth the price, no hybrid slim slot very good point, frt camera is poor ly 5mp and the handset is too heavy in weight. Handy phe small size full screen.",e pers found this helpful
Fully satisfied,Mishra Food N Agro,5,1,10/22/18,Others,e of the best..... In the price range, 
Redmi 6 Pro,GKM,5,1,10/22/18,Display,"Best phe with notch Display ,Battery Backup, Quality Rear Camera.Value for Mey.",
Good,Amaz Customer,5,1,10/22/18,Battery,Sound and battery life good,
Ek jakas cellphe,Amaz Customer,5,1,10/22/18,Others,"This cellphe is good & ecomical , more features available",
Ek jakas cellphe,Amaz Customer,5,1,10/22/18,Others,"This cellphe is good & ecomical , more features available",
Best quality phe,Rehan shaikh ,5,1,10/22/18,Others,Best notch light weight ph.,
Gud Phe,Al Mustaq,5,1,10/22/18,Others,Better phe,
Good,Amaz Customer,5,1,10/22/18,Others,Good,
Sound speaker is not working,Janardhan,1,0,9/22/18,Others,Out of 2 ly 1 speaker is working from day 1,
battery life good,Hardeep singh,4,1,10/22/18,Display,notch. display better,
"Good, very good",Bivash das,5,1,10/22/18,Others,Good product Amaz,
Mi is best,tarun,5,1,10/22/18,Others,Simply Mi ia best,
Super,Josyula,5,1,10/22/18,Others,Value for mey,
Looking smart,SUJEET KUMAR,4,1,10/22/18,Others,Good,
Good,Amaz Customer,4,1,10/22/18,Others,Good,
Worthy,Sourav Maparu,4,1,10/22/18,Others,Good e,
Fantastic,Amaz Customer,3,1,10/22/18,Others,Super,
Nice phe,Ok,5,1,10/22/18,Others,Ok,
Got a defective e and requested for a replacement,Anoopcbose,1,0,9/22/18,Display,"Phe is really nice and good looking.
I think I got a defective e. Because there is a blue colour appears  the side of the screen. You can see it  the image shown below. I d't know I'm the e who facing this or is it a comm problem. Plz let me know if you're facing the same. Also there is some touch issues when we using keyboard for typing. The typing is not smooth and it lag a lot. But the problem appears ly  keyboard. I d't know wether it's a physical problem or a software problem. I wish the replacement phe will d't have these problems. Dear MI team you should csider the blue colour problem  resmi 6 pro display. It may affect your smartphe marketing. Dear MI Please make quality product as shows in your TV Advertising. I'm waiting to get the replacement. Amaz lag in replacement policy without a hand to hand replacement. Hate to purchase from Amaz", 
UNBOXING AND CAMERA SHOTS!,TECHBORED! Himanshu Chatra,5,1,10/22/18,Display,"Hey guys this is TECHBORED! and this is unboxing and also will adding some camera shots.
-----------------------
IN THE BOX
-----------------------
1. Manuals with warranty informati.
2. Charging cable.
3. 5V 2A power adapter.
4. Transparent TPU case.
5. Redmi 6 Pro.
----------
DESIGN
----------
1. The transparent case fits well and is a perfect fit. Gives nice feel in hands.
2. It comes with a notch that is small and I really liked it, At least Xiaomi has tried to cut out the bezels at this budget segment.
3. It sports a FULL HD + display with that 19:9 aspect ratio.
4.  the top of the phe there is this infrared sensor secdary noise cancellati microphe and wow there is this 3.5mm headphe jack. Always happy to see this port.
5. Now moving to the butt than there is this micro USB port situated with microphe and the speaker that is loud but decent sounding speaker.
6. Redmi 6 Pro body is made up of both metal and plastic. So this is ly where metal is used but  the top bottom and  the sides it is plastic. Also the sim tray is made up of plastic. Butts are made up of metal thats nice and gives very nice feedback.
----------------------------
DUAL 4G STANDBY
----------------------------
There is DUAL SIM with dual 4G standby so you can use both sims  4G at same time. And here is a
good thing that I liked about this and it is that it has dedicated Micro SD card slot.
---------------------------
FACE UNLOCK
---------------------------
There is also the finger print sensor that is fast enough to unlock and it also come with this face unlock that is pretty fast and I think it is very much secure. At least it will not be unlocked with your pictures.
-----------------------
CAMERA SETUP
-----------------------
1. The best thing that Xiaomi has put in to this Redmi 6 Pro and it is the same camera setup as  Redmi Note 5 Pro. So it has 12Mp with 5mp dual camera setup with aperture of 2.2 and the single LED flash in the middle. Just now I cannot tell in detail that how how camera performs but I have included some shots that are taken  Redmi 6 Pro and I think they are nice, decent and are almost the the same as  Redmi Note 5 Pro.
2. This camera setup can record upto 1080p videos at 30fps and it supports EIS and the videos are not much shaky and EIS performs well. Where as  the frt is 5MP with aperture of 2.0 camera and its decent.
-------------------
HARDWARE
-------------------
1. So it is powered with the same old Snaprdrag 625 and I think think that it is good for the budget smartphes for now and it performs well  this smartphe.
2. Redmi 6 Pro is backed up with 4090mAh battery that is great.
3. Running  Android 8.1 Oreo and  the top of that there is custom MIUI 9. It will so get a stable update of MIUI10.
4. So the Redmi 6 pro comes in 3GB RAM with 32GB internal mermory and 4GB RAM with 64 GB internal memory variants.", 
dt buy these product. these copy of the product,KHAN SU RAFI AHMED,1,0,9/22/18,Others,"Please d't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting  and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.",
dt buy these product. these copy of the product,KHAN SU RAFI AHMED,1,0,9/22/18,Others,"Please d't buy these product.. I have 3-mobile of MI but i did not face these type of issue. mobile data getting  and off automatically same things are happening with wifi, hot-spot and bluetooth. The handset behaving like cheap quality i think its duplicate or copy of original handset.", 
Nice,Rohit Mengal,5,1,9/23/18,Others,Good phe,e pers found this helpful
Nice,Rohit Mengal,5,1,9/23/18,Others,Good phe,e pers found this helpful
Awesome,Parmar kailash,5,1,10/23/18,Others,Sup up model in MI thank u .. low price best features available, 
Overall a nice phe,anant vasantrao bhamare,3,1,10/23/18,Others,"Sound quality is not so good
Either way the mobile best in its segment",
Redmi 6 pro excellent Product,Amaz Customer,5,1,10/23/18,Battery,this mobile awesome.... i loved it best battery life and performance...,
Look like I phn x. ????????????????????,Parvinder singh,5,1,10/23/18,Camera,No change in camera quality. Other functis super se v uper... ????????????,
Battery,Bilal Ahmed,5,1,10/23/18,Others,The Product is Bulky would have bring the weight down,
Good,RAM,4,1,10/23/18,Others,I didn't get 509/- discount . Buy through HDFC bank,
Nyc,gaurav kumar,5,1,10/23/18,Others,Good,
Sound v acha nhi hai,Md shahab,4,1,10/23/18,Camera,Frt camera low hai cost jyada hair 9999 take think tha,
Amazing,Ritesh verma,5,1,10/23/18,Others,Nice and super mobile,
Nice,Arpan patel,5,1,10/23/18,Others,Like,
.,PRINCE KUMAR GUPTA,4,1,10/23/18,Others,Nice,
Value for mey,Gajanana Malji,5,1,10/23/18,Others,Superb????????????,
Value for mey very good,MOHD AARISH,5,1,10/23/18,Others,Very good product,
Good rear camera,Amaz Customer,3,1,10/23/18,Others,Overall good,
Camera,Arjun ,5,1,10/23/18,Others,Nice mobile,
Thanks alot Amaz,su,5,1,9/24/18,Battery,"Thanks alot Amaz,ecom & seller.perfect product no compromise in quality, good battery backup.smooth working no hanging problem.no heating issue.according to note 5 dual camera working properly.product packing is perfect again thanks alot Amaz, seller,ecom &&&&MI.",e pers found this helpful
Smart brand.,Amaz Customer,5,1,10/24/18,Display,Display is best.,
I've fallen in love!,Aahil Asad Ahmad ,5,1,10/24/18,Others,I've fallen in love!,
Bad video quality,bikash maji,3,1,10/24/18,Others,Video screen short,
Nice,Kamlesh purohit,5,1,10/24/18,Others,Nice,
nice for value,AMIT KUMAR,5,1,10/24/18,Others,all is fine,
Battery,jagbir singh saini,5,1,10/24/18,Others,Its osm,
Midil,Deva bhoi,5,1,10/24/18,Others,Nice,
Launch display,pintu sahoo,5,1,10/24/18,Others,Ok,
Heating issues and battery is not upto the mark.,anoop vp,1,0,9/24/18,Others,Phe has heating issue. Amaz return policy is very bad they will check our phe with blancco app. The app is designed to say phe is perfect always. Go for realme 2 much better phe and u can save 2090 rupees also., 
Nice mobile,Kuldeep Singh,4,1,10/24/18,Display,"This is a good mobile at this price.
Pros : Good display, fast processing and large battery.
Cs : Camera is good but nothing special having dual camera setup.",
Redmi Pro 6,Amaz Customer,3,1,9/25/18,Battery,"Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phe the m this is not the e.. Moto 5 MP camera works better than this",e pers found this helpful
Redmi Pro 6,Amaz Customer,3,1,9/25/18,Battery,"Awesome sound quality , battery life is good , gaming is good no lags there ...Very poor camera if you r buying for a camera phe the m this is not the e.. Moto 5 MP camera works better than this",e pers found this helpful
Batytery is not good mentied 4090mah but not good,Amaz Customer,1,0,9/25/18,Battery,Please dt't bye camera is good but battery back up not good,2 people found this helpful
Not value for mey,Amaz Customer,3,1,10/25/18,Others,"Good phe but not value for mey, Prefer Redmi note 5 over this but was not in stock since last 2 mths", 
Not value of mey.,Jaydeep Parikh ,1,0,9/25/18,Others,worst product ever. d't buy it.,
Battery life,Aman Rana,4,1,10/25/18,Others,Phe system is nice,
res for custmer,Sachin Wadhawan,5,1,10/25/18,Others,like,
This Time Mi cheats..,aanik azad,1,0,9/25/18,Camera,A very worst mobile in such a BiG cost paid.. in 11K rs. There are so many best mobiles are present in every company..The very disappointing thing is its frt camera.in today selfie days there is a very dirty and disappointing frt camra..a big loss of Rs.., 
average phe,sarfaraz alam,3,1,10/25/18,Battery,"after using two weeks i just analyse that it is a average phe in this price catagory. price should not be more than 10,090/- for this phe.
here i analyse some pros and cs of this phe after countinious using of this phe.
PROS:-
1.screen resoluti is preety good 1080 x 2280 pixels, colours ctrast also very impressive.
2.two days battery backup if you not playing heavy games  it like PUBG.
3.Snapdrag 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but ly in Day light cditi in night you will face high noice in pictures
5.frt facing camera also have AI depth effect it not too much good but you can take good selfy in day light cditi.
6.process optimizati in this phe is good.
7.there are a little notch which increase the looks and design of phe.
CS:-
1.e thing i hate in this phe is its notifacti bar, you will not get all notificati  top bar, every time you need to scroll down the ntificati bar to see app notificatis. net speed meter is also not shown and no whatsapp ic notificati  the top of the bar. because of the notch  the screen. Mi company should needs to fix these minaor issues by new updatess.
2.Downloading process in background is little bit slow in this phe as compare to other redmi phes.
3. video recording quality of this phe is not good.
4.ly 5MP frt facing camera and quality is very average. in this price segment there are many phes avilabe which have better frt cameras.",
average phe,sarfaraz alam,3,1,10/25/18,Battery,"after using two weeks i just analyse that it is a average phe in this price catagory. price should not be more than 10,090/- for this phe.
here i analyse some pros and cs of this phe after countinious using of this phe.
PROS:-
1.screen resoluti is preety good 1080 x 2280 pixels, colours ctrast also very impressive.
2.two days battery backup if you not playing heavy games  it like PUBG.
3.Snapdrag 625 is old but till now it's performance is awsm ,you did not face any lag in games in low graphic setting.
4.camera pictures quality is good, also portrait mode captures the good depth effect in photos but ly in Day light cditi in night you will face high noice in pictures
5.frt facing camera also have AI depth effect it not too much good but you can take good selfy in day light cditi.
6.process optimizati in this phe is good.
7.there are a little notch which increase the looks and design of phe.
CS:-
1.e thing i hate in this phe is its notifacti bar, you will not get all notificati  top bar, every time you need to scroll down the ntificati bar to see app notificatis. net speed meter is also not shown and no whatsapp ic notificati  the top of the bar. because of the notch  the screen. Mi company should needs to fix these minaor issues by new updatess.
2.Downloading process in background is little bit slow in this phe as compare to other redmi phes.
3. video recording quality of this phe is not good.
4.ly 5MP frt facing camera and quality is very average. in this price segment there are many phes avilabe which have better frt cameras.", 
"Redmi 6 pro looking good, better performance.",Sanu,5,1,10/25/18,Others,Good,
Very good,Amaz Customer,4,1,9/25/18,Others,Good purchase nice phe with good features like 3 slots and face lock,3 people found this helpful
Batytery is not good mentied 4090mah but not good,Amaz Customer,1,0,9/25/18,Battery,Please dt't bye camera is good but battery back up not good,
Awesome fantastic jhakass. lajawaab.,Tarikul Islam,5,1,9/26/18,Battery,It's very fantastic awesome mobile and nice sound quality. Awesome camera. Nice battery life. Awesome look but I think it's small size.,e pers found this helpful
Nice product,Vaibhav,5,1,10/26/18,Others,Nice, 
Good,P.T.Hanuman,4,1,10/26/18,Camera,Camera is good,
Good job Amaz,Shashikumar,5,1,10/26/18,Others,e of the best phe under 12k.,
Value for mey,THAMIZH ARASU,4,1,10/26/18,Others,Nice mobile in this price range,
Good,yahoo,5,1,10/26/18,Others,Good Product,
Munish gupta,Munish ,3,1,10/26/18,Others,All is well,
Awesome,Vimalnathan.s,5,1,10/26/18,Others,Good,
Best mobile,Rakesh Baraiya,5,1,10/26/18,Others,Too good,
Nice,Amaz Customer,4,1,10/26/18,Others,Nice,
Good,ayush,5,1,10/26/18,Others,Good,
Super,Jawed Ansari,5,1,10/26/18,Others,Good,
turn out amazing to be amazing worth it,Pranay chaudhari,5,1,9/26/18,Camera,"the camera is good, phe is fast overall work well in all department",2 people found this helpful
Quality is not good,Vamshi Vadikari,1,0,9/27/18,Others,"Worst phe from MI and Amaz
Touch was not good and didnot working as expected
Without touching the screen click is happening and unnecessary apps are opening",e pers found this helpful
Product is good,Suman Bag,5,1,10/27/18,Battery,"This product is very good, battery backup is very good,",
Good,Darshan V,5,1,10/27/18,Others,Good,
Good product,Aakash,5,1,10/27/18,Others,Awesome product,
Bad service for return,GAURANG T.Nakarani,1,0,9/27/18,Others,Bad facility for replacement,
Excellent,Mahesha,5,1,10/27/18,Others,"Awesome mobile, value of mey...",
Coustly,Nasreen,1,0,9/27/18,Others,Selfi flesh not,
Value for Mey,Amaz Customer,5,1,9/28/18,Display,"Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It's a beautifully designed,strg and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4090mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You d't need third security apps.And the phe do charge little faster  it's stock adapter.Atleast 2hrs and 45mins.As it's a Qualcomm Chipset.

Verdict: The Base model is actually the Value for mey deal. 3/32 GB.
I have been using the Redmi 6 pro for 3 weeks now. This is totally tested.",2 people found this helpful
Redmi 6 pro (3/32 GB) review after using for e week.,Arun Yajurvedi,3,1,9/28/18,Display,"Over prised by at least around Rs.1090/- Low light photos are bad. ly e SIM support VOLTE.
Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I d't play games. I like MIUI. I have already Redmi 4 A (Rs.6090/-ly) using for more than 14 mths working superbly. I have good opini about Redmi mobiles.",2 people found this helpful
Value for Mey,Amaz Customer,5,1,9/28/18,Display,"Redmi has always have been the the king of budget segment.And yet another they gave us the Redmi 6 pro.It's a beautifully designed,strg and durable.And the camera is awesome just like the Note 5 pro,Display is crisp and the notch is in good shape, means it does take whole screen.Sound quality is clear and loud.But the headset experience is awesome.The Battery is 4090mah which is crazily optimized.In heavy useage it will give 2 day and a half in normal useage it give 3 days.And best thing is the inbuild Mi sercurity which loaded with features.You d't need third security apps.And the phe do charge little faster  it's stock adapter.Atleast 2hrs and 45mins.As it's a Qualcomm Chipset.

Verdict: The Base model is actually the Value for mey deal. 3/32 GB.
I have been using the Redmi 6 pro for 3 weeks now. This is totally tested.",2 people found this helpful
Redmi 6 pro (3/32 GB) review after using for e week.,Arun Yajurvedi,3,1,9/28/18,Display,"Over prised by at least around Rs.1090/- Low light photos are bad. ly e SIM support VOLTE.
Good things are best sound, good display, smooth touch, excellent battery life management, compact, nice photos and videos under good light. It never gets over heated while using or charging. I d't play games. I like MIUI. I have already Redmi 4 A (Rs.6090/-ly) using for more than 14 mths working superbly. I have good opini about Redmi mobiles.",2 people found this helpful
THIK THAK.,Sudipto Ghosh,4,1,9/28/18,Display,Like everything besides display.,e pers found this helpful
Dual 4G support,Manoj Kumar,1,0,9/28/18,Others,I have purchsed this item and two jio sim are not working togeher. But in specificati it is given that it supports dual 4g sim. What is this? Please dove my problem.,e pers found this helpful
Trust or not trust as your wish,Mayur shingne,5,1,9/28/18,Display,This product is very nice and battery life and notch display is very awesome,2 people found this helpful
Ok,Prashanta KN,1,0,9/28/18,Others,Ok,e pers found this helpful
Looking osm,Amaz Customer,4,1,10/28/18,Camera,"Nice product and durability also good..
Best for camera's",
Good,Uttam singh,5,1,10/28/18,Others,Hello,
Very good,Jalindar dhdabare,5,1,10/28/18,Others,Good quality,
Good,Suraj,5,1,10/28/18,Others,Good,
best phe in budget,mohammed imroz,5,1,10/28/18,Others,awosome phe,
Best Phe,Rishikesh metkar,5,1,10/28/18,Others,Mi Best,
I am satisfying this phe,Jit saha,5,1,9/28/18,Others,Bettary so good,
Good for sharp use,Shankar,4,1,10/28/18,Others,Dislike snapdrag 425,
Dual 4G support,Manoj Kumar,1,0,9/28/18,Others,I have purchsed this item and two jio sim are not working togeher. But in specificati it is given that it supports dual 4g sim. What is this? Please dove my problem., 
Good,rajkumar kumawat,4,1,9/29/18,Others,Good,e pers found this helpful
Good,rajkumar kumawat,4,1,9/29/18,Others,Good,e pers found this helpful
and brand like MI.,Abinash Dash,5,1,10/29/18,Others,"Midrange phe with a notch...and brand like MI...
Aur kya chahiye", 
Powerful device,Anand bharti,5,1,10/29/18,Delivery,Powerful device I love mi ...thnax Amaz for quick delivery, 
Nice look,Amaz Customer,4,1,10/29/18,Display,"Nice look with notch display, but sound is little bit low..", 
Very good desain,MAHAVIRSINH R JADEJA,3,1,10/29/18,Others,Sound qulity not dolby and processor performance not ok.,
Not A camera fe,Amaz Customer,4,1,10/29/18,Camera,Looking wise sexy but camera quality is not worth over all good,
waste of mey,Rameez Rashid Parray,1,0,9/29/18,Others,waste of mey,
Super farfamens,SambasivaraoAmaz Customer,3,1,10/29/18,Others,Nice mobaile,
"Value for mey, must buy",Amaz Customer,5,1,10/29/18,Others,Perfect,
Best,Vinayak shinde,5,1,10/29/18,Others,Best for price,
Mi,Mohammed altaf,4,1,10/29/18,Others,Nice mobile,
Battery,Pardeep sharma,5,1,10/29/18,Battery,NYC camera and battery backup, 
Redmi 6 pro is best in the same mey range,Gautam Roy ,5,1,10/30/18,Display,"Battery life is awesome including display is too good, fast charging makes it extremely well. Good value for mey.", 
Good phe,sudevan,5,1,10/30/18,Others,Width is little less. Still good phe. Face unlock and finger print unlocks are awasome, 
Nice,Pintu rai,4,1,10/30/18,Others,Good phe,
No dual volte,Sunil kumar kulhari,1,0,9/30/18,Others,I'm fan MI but No dual volte.. waste of mey..,
A good product from MI at an affordable price tag.,Amaz Customer,4,1,10/30/18,Others,Overall the product build and handling quality is good.,
Awesome,Upender,5,1,10/30/18,Delivery,Fast delivery great,
Poor,Rishab tripathi,3,1,10/30/18,Others,Poor,
Camera,Friends ,5,1,10/30/18,Others,Nice product,
Good,Najim ,5,1,10/30/18,Others,Good,
